,perum,detail
1,"<p class=""venue-front-title"">Kaisar City</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kaisar City</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Pusat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Kaisar Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kaisar Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.299jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Kaisar Residence 2</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kaisar Residence 2</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,34mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Kaja Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kaja Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Kalibata Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kalibata Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,8mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Kalibata Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kalibata Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.950jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.48jt<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Kalibata Town House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kalibata Town House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Kalideres Permai</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kalideres Permai</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.850jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.30jt<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Kalila Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kalila Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Kalisari</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kalisari</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.685jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Kalisari Indah Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kalisari Indah Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Kamal Raya Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kamal Raya Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Kamala Home Resort</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kamala Home Resort</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Kamata Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kamata Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Kamboja Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kamboja Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Kamboja Village 3</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kamboja Village 3</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Kampoeng Agrowisata</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kampoeng Agrowisata</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Kampung Artis</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kampung Artis</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.650jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Kanajanti Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kanajanti Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4,8mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Kanaya Terrace</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kanaya Terrace</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Kano Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kano Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,4mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.325jt<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Kanonang Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kanonang Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.780jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Kansa Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kansa Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Karang Pola</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Karang Pola</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.6,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Kartika Jaya</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kartika Jaya</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Kartika Town House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kartika Town House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Kartini</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kartini</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Pusat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Karya Sarana</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Karya Sarana</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Katamaran Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Katamaran Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.80jt<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Katamaran Permai</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Katamaran Permai</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Kav Dki</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kav Dki</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.100jt<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Kav Dki</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kav Dki</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Kavling Apad</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Apad</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Kavling BRI</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling BRI</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,27mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Kavling Ceremai</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Ceremai</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Kavling Dki</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Dki</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Kavling Dki Pondok Kelapa</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Dki Pondok Kelapa</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.530jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.65jt<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Kavling Dpr</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Dpr</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,55mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Kavling DPRD Cibubur</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling DPRD Cibubur</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,1mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Kavling Hankam</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Hankam</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,35mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Kavling Intirub</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Intirub</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.7mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Kavling Joe Baru</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Joe Baru</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,6mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Kavling Kowilhan I</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Kowilhan I</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Kavling Marinir</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Marinir</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Kavling Nabila</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Nabila</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Kavling Polri</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Polri</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.8,4jt<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Kavling Pratama Rorotan</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Pratama Rorotan</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Kavling Thomas</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Thomas</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Kavling Tipar Timur</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling Tipar Timur</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Kavling TNI AL</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kavling TNI AL</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,2mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Kayu Putih</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kayu Putih</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Pusat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Kayu Putih Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kayu Putih Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,1mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.80jt<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Kayu Putih Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kayu Putih Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,6mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.70jt<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Kebagusan Park Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kebagusan Park Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,7mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Kebagusan Terrace</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kebagusan Terrace</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Kebagusan Town House 24</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kebagusan Town House 24</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,55mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Kebayoran Lama</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kebayoran Lama</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.160jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.140jt<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Kebayoran Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kebayoran Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.12mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Kebayoran Villas</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kebayoran Villas</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Kebersihan</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kebersihan</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Kebon Jeruk Baru</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kebon Jeruk Baru</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,4mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Kebon Jeruk Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kebon Jeruk Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Kebon Jeruk Indah Utama</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kebon Jeruk Indah Utama</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.35jt<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Kebon Kacang</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kebon Kacang</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Pusat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.9mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Kecapi Indah</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kecapi Indah</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jagakarsa, Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,8mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Kecapi Mansion</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kecapi Mansion</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Kecapi Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kecapi Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,35mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Kedoya Garden</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kedoya Garden</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Kehakiman</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kehakiman</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Pusat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Kehakiman</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kehakiman</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Kehakiman</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kehakiman</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.30mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
