,region,price,details
841,"Cinere, Depok Kota",Rp 1.100.000.000,2 KT - 2 KM - 57 m2
842,"Jagakarsa, Jakarta Selatan",Rp 2.980.000.000,4 KT - 4 KM - 210 m2
844,"Cimanggis, Depok Kota",Rp 1.900.000.000,3 KT - 2 KM - 110 m2
845,"Pasar Minggu, Jakarta Selatan",Rp 690.000.554,3 KT - 2 KM - 50 m2
850,"Pasar Minggu, Jakarta Selatan",Rp 475.000.000,3 KT - 1 KM - 80 m2
851,"Cimanggis, Depok Kota",Rp 900.000.000,3 KT - 3 KM - 150 m2
852,"Jagakarsa, Jakarta Selatan",Rp 850.000.000,2 KT - 1 KM - 45 m2
853,"Jagakarsa, Jakarta Selatan",Rp 650.000.000,2 KT - 1 KM - 45 m2
854,"Ciracas, Jakarta Timur",Rp 1.969.000.000,4 KT - 3 KM - 115 m2
855,"Cimanggis, Depok Kota",Rp 846.492.625,2 KT - 1 KM - 55 m2
856,"Pasar Minggu, Jakarta Selatan",Rp 32.500.000.000,&gt;10 KT - 8 KM - 2300 m2
857,"Pasar Minggu, Jakarta Selatan",Rp 550.000.000,3 KT - 2 KM - 80 m2
861,"Jagakarsa, Jakarta Selatan",Rp 360.250.000,2 KT - 1 KM - 36 m2
862,"Jagakarsa, Jakarta Selatan",Rp 3.000.000.000,4 KT - 3 KM - 380 m2
863,"Cinere, Depok Kota",Rp 950.000.000,4 KT - 3 KM - 257 m2
864,"Cimanggis, Depok Kota",Rp 6.900.000.000,5 KT - 4 KM - 450 m2
865,"Jagakarsa, Jakarta Selatan",Rp 3.100.000.000,5 KT - 4 KM - 250 m2
866,"Pasar Rebo, Jakarta Timur",Rp 1.700.000.000,4 KT - 2 KM - 100 m2
867,"Jagakarsa, Jakarta Selatan",Rp 6.500.000.000,5 KT - 3 KM - 401 m2
869,"Beji, Depok Kota",Rp 1.600.000.000,4 KT - 3 KM - 150 m2
870,"Beji, Depok Kota",Rp 550.000.000,2 KT - 1 KM - 50 m2
871,"Beji, Depok Kota",Rp 850.100.210,2 KT - 1 KM - 45 m2
872,"Beji, Depok Kota",Rp 631.000.000,2 KT - 1 KM - 55 m2
873,"Jagakarsa, Jakarta Selatan",Rp 1.100.000.810,3 KT - 3 KM - 81 m2
874,"Ciracas, Jakarta Timur",Rp 1.100.000.820,3 KT - 3 KM - 82 m2
876,"Beji, Depok Kota",Rp 1.200.500.000,4 KT - 4 KM - 100 m2
877,"Beji, Depok Kota",Rp 405.800.000,2 KT - 1 KM - 40 m2
878,"Ciracas, Jakarta Timur",Rp 1.100.000.790,3 KT - 3 KM - 79 m2
879,"Jagakarsa, Jakarta Selatan",Rp 300.000.000,2 KT - 1 KM - 60 m2
882,"Cimanggis, Depok Kota",Rp 2.250.000.000,4 KT - 3 KM - 200 m2
883,"Cimanggis, Depok Kota",Rp 875.000.000,3 KT - 2 KM - 80 m2
884,"Pasar Rebo, Jakarta Timur",Rp 1.100.000.810,3 KT - 3 KM - 81 m2
885,"Ciracas, Jakarta Timur",Rp 410.000.000,2 KT - 1 KM - 36 m2
886,"Cimanggis, Depok Kota",Rp 1.750.000.000,4 KT - 3 KM - 114 m2
889,"Beji, Depok Kota",Rp 2.896.300.000,3 KT - 2 KM - 158 m2
890,"Cinere, Depok Kota",Rp 695.000.000,2 KT - 1 KM - 50 m2
892,"Cimanggis, Depok Kota",Rp 549.000.000,3 KT - 2 KM - 55 m2
894,"Cinere, Depok Kota",Rp 900.000.000,3 KT - 2 KM - 55 m2
895,"Pasar Minggu, Jakarta Selatan",Rp 2.500.000.000,10 KT - 6 KM - 450 m2
896,"Beji, Depok Kota",Rp 715.000.000,3 KT - 2 KM - 50 m2
897,"Ciracas, Jakarta Timur",Rp 780.000.000,2 KT - 2 KM - 120 m2
900,"Cinere, Depok Kota",Rp 475.000.000,2 KT - 1 KM - 70 m2
903,"Jagakarsa, Jakarta Selatan",Rp 375.000.000,2 KT - 1 KM - 35 m2
904,"Jagakarsa, Jakarta Selatan",Rp 1.800.001.110,5 KT - 5 KM - 155 m2
906,"Jagakarsa, Jakarta Selatan",Rp 699.000.000,3 KT - 2 KM - 52 m2
907,"Beji, Depok Kota",Rp 294.000.000,2 KT - 1 KM - 43 m2
908,"Pasar Minggu, Jakarta Selatan",Rp 10.999.999.999,6 KT - 7 KM - 550 m2
909,"Pasar Minggu, Jakarta Selatan",Rp 1.025.000.000,3 KT - 3 KM - 98 m2
910,"Pasar Minggu, Jakarta Selatan",Rp 1.600.000.000,5 KT - 4 KM - 125 m2
913,"Jagakarsa, Jakarta Selatan",Rp 5.300.000.000,6 KT - 4 KM - 300 m2
914,"Pasar Minggu, Jakarta Selatan",Rp 4.000.000.000,4 KT - 5 KM - 220 m2
916,"Jagakarsa, Jakarta Selatan",Rp 1.750.000.000,4 KT - 4 KM - 143 m2
917,"Beji, Depok Kota",Rp 550.000.000,2 KT - 1 KM - 45 m2
918,"Cinere, Depok Kota",Rp 11.500.000.000,6 KT - 6 KM - 750 m2
919,"Beji, Depok Kota",Rp 198.000.000,2 KT - 1 KM - 36 m2
922,"Beji, Depok Kota",Rp 200.000.000,2 KT - 1 KM - 42 m2
924,"Jagakarsa, Jakarta Selatan",Rp 950.000.000,3 KT - 2 KM - 60 m2
925,"Pasar Rebo, Jakarta Timur",Rp 750.000.000,3 KT - 2 KM - 45 m2
926,"Jagakarsa, Jakarta Selatan",Rp 4.250.000.000,5 KT - 4 KM - 300 m2
927,"Jagakarsa, Jakarta Selatan",Rp 2.100.000.000,4 KT - 2 KM - 180 m2
928,"Pasar Minggu, Jakarta Selatan",Rp 6.000.000.000,6 KT - 6 KM - 350 m2
930,"Jagakarsa, Jakarta Selatan",Rp 1.425.000.000,3 KT - 3 KM - 100 m2
931,"Jagakarsa, Jakarta Selatan",Rp 1.625.000.000,4 KT - 4 KM - 150 m2
932,"Jagakarsa, Jakarta Selatan",Rp 410.000.000,2 KT - 1 KM - 50 m2
933,"Cinere, Depok Kota",Rp 6.500.000.000,5 KT - 5 KM - 500 m2
934,"Jagakarsa, Jakarta Selatan",Rp 1.175.000.000,3 KT - 3 KM - 100 m2
935,"Ciracas, Jakarta Timur",Rp 2.500.000.000,7 KT - 3 KM - 419 m2
936,"Cimanggis, Depok Kota",Rp 870.000.000,3 KT - 2 KM - 59 m2
937,"Cimanggis, Depok Kota",Rp 400.000.000,2 KT - 1 KM - 70 m2
938,"Cinere, Depok Kota",Rp 467.000.000,2 KT - 1 KM - 36 m2
941,"Ciracas, Jakarta Timur",Rp 1.550.000.000,3 KT - 2 KM - 84 m2
942,"Cimanggis, Depok Kota",Rp 496.000.000,2 KT - 1 KM - 36 m2
944,"Pasar Rebo, Jakarta Timur",Rp 1.459.800.000,4 KT - 2 KM - 142 m2
945,"Jagakarsa, Jakarta Selatan",Rp 1.400.000.000,4 KT - 2 KM - 140 m2
946,"Pasar Minggu, Jakarta Selatan",Rp 2.700.000.000,5 KT - 3 KM - 100 m2
948,"Pasar Rebo, Jakarta Timur",Rp 400.000.000,2 KT - 2 KM - 60 m2
950,"Jagakarsa, Jakarta Selatan",Rp 2.499.000.000,5 KT - 5 KM - 151 m2
951,"Cimanggis, Depok Kota",Rp 350.000.000,3 KT - 2 KM - 68 m2
952,"Beji, Depok Kota",Rp 1.599.000.000,4 KT - 4 KM - 165 m2
953,"Pasar Minggu, Jakarta Selatan",Rp 477.300.000,2 KT - 1 KM - 40 m2
955,"Beji, Depok Kota",Rp 453.000.000,2 KT - 1 KM - 50 m2
958,"Pasar Rebo, Jakarta Timur",Rp 1.050.000.000,3 KT - 2 KM - 85 m2
959,"Jagakarsa, Jakarta Selatan",Rp 1.950.001.110,5 KT - 5 KM - 170 m2
960,"Beji, Depok Kota",Rp 1.300.000.000,5 KT - 3 KM - 200 m2
961,"Jagakarsa, Jakarta Selatan",Rp 1.250.000.000,3 KT - 2 KM - 90 m2
964,"Jagakarsa, Jakarta Selatan",Rp 5.000.000.000,6 KT - 5 KM - 300 m2
965,"Cimanggis, Depok Kota",Rp 1.185.112.000,2 KT - 2 KM - 58 m2
966,"Jagakarsa, Jakarta Selatan",Rp 1.600.000.000,3 KT - 3 KM - 100 m2
967,"Jagakarsa, Jakarta Selatan",Rp 1.200.000.000,3 KT - 2 KM - 77 m2
968,"Pasar Minggu, Jakarta Selatan",Rp 5.700.000.000,5 KT - 4 KM - 250 m2
969,"Beji, Depok Kota",Rp 500.000.000,3 KT - 2 KM - 72 m2
970,"Cimanggis, Depok Kota",Rp 707.000.000,3 KT - 2 KM - 85 m2
971,"Pasar Minggu, Jakarta Selatan",Rp 9.400.000.000,4 KT - 3 KM - 406 m2
972,"Beji, Depok Kota",Rp 450.000.000,2 KT - 1 KM - 45 m2
973,"Pasar Minggu, Jakarta Selatan",Rp 16.500.000.000,6 KT - 5 KM - 500 m2
974,"Cinere, Depok Kota",Rp 3.700.000.000,4 KT - 3 KM - 320 m2
975,"Jagakarsa, Jakarta Selatan",Rp 6.648.000.000,4 KT - 3 KM - 288 m2
976,"Pasar Minggu, Jakarta Selatan",Rp 2.000.000.000,4 KT - 3 KM - 170 m2
977,"Beji, Depok Kota",Rp 1.100.000.000,3 KT - 3 KM - 100 m2
978,"Pasar Rebo, Jakarta Timur",Rp 562.900.000,3 KT - 1 KM - 79 m2
979,"Jagakarsa, Jakarta Selatan",Rp 470.000.000,2 KT - 2 KM - 50 m2
980,"Beji, Depok Kota",Rp 885.000.000,3 KT - 2 KM - 70 m2
983,"Beji, Depok Kota",Rp 1.100.000.000,3 KT - 2 KM - 165 m2
984,"Pasar Rebo, Jakarta Timur",Rp 1.500.000.000,4 KT - 3 KM - 120 m2
985,"Ciracas, Jakarta Timur",Rp 340.000.000,2 KT - 1 KM - 70 m2
986,"Cimanggis, Depok Kota",Rp 7.500.000.000,5 KT - 3 KM - 400 m2
987,"Cinere, Depok Kota",Rp 1.450.000.000,3 KT - 2 KM - 166 m2
988,"Cimanggis, Depok Kota",Rp 1.350.000.000,2 KT - 2 KM - 150 m2
989,"Jagakarsa, Jakarta Selatan",Rp 1.550.000.000,3 KT - 3 KM - 90 m2
990,"Cinere, Depok Kota",Rp 900.000.000,3 KT - 2 KM - 65 m2
991,"Jagakarsa, Jakarta Selatan",Rp 12.000.000.000,6 KT - 4 KM - 340 m2
992,"Jagakarsa, Jakarta Selatan",Rp 1.400.000.000,4 KT - 4 KM - 120 m2
993,"Beji, Depok Kota",Rp 475.000.000,2 KT - 1 KM - 36 m2
994,"Cinere, Depok Kota",Rp 5.200.000.000,3 KT - 3 KM - 244 m2
995,"Jagakarsa, Jakarta Selatan",Rp 1.124.000.000,4 KT - 4 KM - 140 m2
996,"Jagakarsa, Jakarta Selatan",Rp 13.000.000.000,8 KT - 5 KM - 700 m2
997,"Jagakarsa, Jakarta Selatan",Rp 4.000.000.000,4 KT - 4 KM - 300 m2
998,"Pasar Minggu, Jakarta Selatan",Rp 450.000.000,2 KT - 1 KM - 30 m2
999,"Pasar Rebo, Jakarta Timur",Rp 700.000.000,3 KT - 2 KM - 52 m2
1000,"Cilandak, Jakarta Selatan",Rp 1.100.000.000,3 KT - 3 KM - 100 m2
1001,"Cilandak, Jakarta Selatan",Rp 700.000.000,2 KT - 2 KM - 54 m2
1003,"Kebayoran Lama, Jakarta Selatan",Rp 58.000.000.000,5 KT - 5 KM - 1200 m2
1004,"Kebayoran Lama, Jakarta Selatan",Rp 500.000.000,2 KT - 1 KM - 45 m2
1005,"Pasar Minggu, Jakarta Selatan",Rp 1.874.900.000,3 KT - 3 KM - 135 m2
1009,"Kebayoran Lama, Jakarta Selatan",Rp 699.000.004,3 KT - 2 KM - 52 m2
1014,"Cilandak, Jakarta Selatan",Rp 4.650.000.000,5 KT - 4 KM - 300 m2
1015,"Cilandak, Jakarta Selatan",Rp 1.695.000.001,3 KT - 2 KM - 80 m2
1016,"Cilandak, Jakarta Selatan",Rp 1.600.000.000,4 KT - 3 KM - 100 m2
1017,"Cilandak, Jakarta Selatan",Rp 5.500.000.000,4 KT - 4 KM - 300 m2
1019,"Kebayoran Lama, Jakarta Selatan",Rp 15.000.000.000,4 KT - 4 KM - 400 m2
1020,"Cilandak, Jakarta Selatan",Rp 875.000.000,3 KT - 2 KM - 90 m2
1021,"Ciputat Timur, Tangerang Selatan Kota",Rp 490.000.000,2 KT - 1 KM - 65 m2
1022,"Cilandak, Jakarta Selatan",Rp 9.200.000.000,5 KT - 4 KM - 337 m2
1023,"Kebayoran Baru, Jakarta Selatan",Rp 14.000.000.000,5 KT - 4 KM - 200 m2
1024,"Kebayoran Lama, Jakarta Selatan",Rp 13.000.000.000,7 KT - 4 KM - 450 m2
1026,"Cilandak, Jakarta Selatan",Rp 22.000.000.000,7 KT - 7 KM - 800 m2
1028,"Cilandak, Jakarta Selatan",Rp 6.002.010.000,3 KT - 4 KM - 310 m2
1031,"Ciputat Timur, Tangerang Selatan Kota",Rp 700.000.000,3 KT - 2 KM - 50 m2
1032,"Ciputat Timur, Tangerang Selatan Kota",Rp 980.000.000,2 KT - 1 KM - 70 m2
1034,"Cilandak, Jakarta Selatan",Rp 48.980.000.000,8 KT - 5 KM - 600 m2
1036,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.100.000.000,3 KT - 2 KM - 100 m2
1037,"Cilandak, Jakarta Selatan",Rp 7.000.000.000,5 KT - 5 KM - 300 m2
1039,"Ciputat Timur, Tangerang Selatan Kota",Rp 650.000.010,3 KT - 2 KM - 50 m2
1040,"Cilandak, Jakarta Selatan",Rp 1.000.000.000,7 KT - 7 KM - 120 m2
1041,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.200.000.000,2 KT - 2 KM - 80 m2
1042,"Mampang Prapatan, Jakarta Selatan",Rp 10.500.000.000,6 KT - 5 KM - 700 m2
1043,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.750.000.000,2 KT - 2 KM - 114 m2
1045,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.700.000.000,4 KT - 3 KM - 204 m2
1047,"Ciputat Timur, Tangerang Selatan Kota",Rp 3.400.000.000,4 KT - 4 KM - 300 m2
1048,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.235.000.000,2 KT - 1 KM - 60 m2
1049,"Cilandak, Jakarta Selatan",Rp 800.000.000,2 KT - 1 KM - 60 m2
1052,"Cilandak, Jakarta Selatan",Rp 3.000.000.000,3 KT - 3 KM - 160 m2
1053,"Cilandak, Jakarta Selatan",Rp 282.500.000,2 KT - 1 KM - 38 m2
1054,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.900.000.000,3 KT - 3 KM - 250 m2
1055,"Cilandak, Jakarta Selatan",Rp 6.800.000.000,3 KT - 2 KM - 200 m2
1060,"Kebayoran Lama, Jakarta Selatan",Rp 1.500.000.000,5 KT - 2 KM - 150 m2
1061,"Ciputat Timur, Tangerang Selatan Kota",Rp 660.000.000,3 KT - 2 KM - 52 m2
1062,"Kebayoran Lama, Jakarta Selatan",Rp 7.500.000.000,3 KT - 2 KM - 100 m2
1063,"Kebayoran Baru, Jakarta Selatan",Rp 7.900.000.000,4 KT - 5 KM - 500 m2
1064,"Cilandak, Jakarta Selatan",Rp 5.750.000.000,4 KT - 3 KM - 350 m2
1065,"Ciputat Timur, Tangerang Selatan Kota",Rp 5.700.000.000,4 KT - 4 KM - 300 m2
1066,"Cilandak, Jakarta Selatan",Rp 10.500.000.000,5 KT - 5 KM - 420 m2
1067,"Cilandak, Jakarta Selatan",Rp 9.000.000.000,4 KT - 3 KM - 500 m2
1069,"Cilandak, Jakarta Selatan",Rp 11.500.000.000,4 KT - 4 KM - 420 m2
1070,"Ciputat Timur, Tangerang Selatan Kota",Rp 7.000.000.000,6 KT - 6 KM - 800 m2
1071,"Kebayoran Lama, Jakarta Selatan",Rp 14.500.000.000,5 KT - 4 KM - 500 m2
1072,"Mampang Prapatan, Jakarta Selatan",Rp 265.000.000,2 KT - 1 KM - 45 m2
1073,"Cilandak, Jakarta Selatan",Rp 4.900.000.000,3 KT - 3 KM - 300 m2
1074,"Mampang Prapatan, Jakarta Selatan",Rp 775.000.005,2 KT - 1 KM - 70 m2
1077,"Kebayoran Lama, Jakarta Selatan",Rp 920.000.004,2 KT - 1 KM - 70 m2
1078,"Kebayoran Lama, Jakarta Selatan",Rp 26.500.000.000,6 KT - 4 KM - 400 m2
1079,"Cilandak, Jakarta Selatan",Rp 9.300.000.000,4 KT - 3 KM - 292 m2
1080,"Kebayoran Lama, Jakarta Selatan",Rp 8.500.000.000,4 KT - 3 KM - 245 m2
1081,"Kebayoran Baru, Jakarta Selatan",Rp 450.000.000,2 KT - 1 KM - 36 m2
1082,"Cilandak, Jakarta Selatan",Rp 600.000.031,3 KT - 2 KM - 100 m2
1084,"Kebayoran Baru, Jakarta Selatan",Rp 775.000.003,2 KT - 1 KM - 70 m2
1085,"Kebayoran Lama, Jakarta Selatan",Rp 6.700.000.000,3 KT - 3 KM - 194 m2
1086,"Ciputat Timur, Tangerang Selatan Kota",Rp 9.900.000.000,4 KT - 3 KM - 480 m2
1087,"Cilandak, Jakarta Selatan",Rp 3.700.000.000,4 KT - 3 KM - 185 m2
1090,"Cilandak, Jakarta Selatan",Rp 775.000.001,2 KT - 1 KM - 70 m2
1093,"Kebayoran Lama, Jakarta Selatan",Rp 920.000.004,3 KT - 2 KM - 70 m2
1095,"Ciputat Timur, Tangerang Selatan Kota",Rp 2.700.000.000,4 KT - 3 KM - 180 m2
1096,"Kebayoran Baru, Jakarta Selatan",Rp 920.000.003,3 KT - 2 KM - 70 m2
1100,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.500.000.000,3 KT - 2 KM - 84 m2
1101,"Cilandak, Jakarta Selatan",Rp 17.500.000.000,5 KT - 4 KM - 580 m2
1102,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.150.000.000,4 KT - 4 KM - 140 m2
1103,"Cilandak, Jakarta Selatan",Rp 884.000.000,3 KT - 2 KM - 68 m2
1104,"Kebayoran Lama, Jakarta Selatan",Rp 8.900.000.000,7 KT - 5 KM - 450 m2
1105,"Cilandak, Jakarta Selatan",Rp 920.000.001,3 KT - 2 KM - 70 m2
1106,"Kebayoran Lama, Jakarta Selatan",Rp 28.000.000.000,8 KT - 5 KM - 850 m2
1107,"Cilandak, Jakarta Selatan",Rp 17.000.000.000,6 KT - 6 KM - 800 m2
1108,"Kebayoran Lama, Jakarta Selatan",Rp 6.250.000.456,4 KT - 3 KM - 200 m2
1109,"Cilandak, Jakarta Selatan",Rp 4.500.090.000,4 KT - 3 KM - 185 m2
1110,"Mampang Prapatan, Jakarta Selatan",Rp 750.000.005,3 KT - 2 KM - 70 m2
1113,"Kebayoran Lama, Jakarta Selatan",Rp 750.000.004,3 KT - 2 KM - 70 m2
1115,"Ciputat Timur, Tangerang Selatan Kota",Rp 651.000.000,3 KT - 2 KM - 50 m2
1116,"Ciputat Timur, Tangerang Selatan Kota",Rp 2.600.000.000,4 KT - 3 KM - 225 m2
1118,"Cilandak, Jakarta Selatan",Rp 750.000.001,3 KT - 2 KM - 70 m2
1119,"Cilandak, Jakarta Selatan",Rp 6.500.000.000,5 KT - 3 KM - 320 m2
1121,"Pasar Minggu, Jakarta Selatan",Rp 575.000.000,2 KT - 2 KM - 60 m2
1122,"Ciputat Timur, Tangerang Selatan Kota",Rp 2.450.000.000,4 KT - 4 KM - 160 m2
1123,"Kebayoran Lama, Jakarta Selatan",Rp 2.200.000.000,5 KT - 2 KM - 160 m2
1124,"Kebayoran Lama, Jakarta Selatan",Rp 4.000.000.000,6 KT - 5 KM - 321 m2
1125,"Kebayoran Lama, Jakarta Selatan",Rp 720.000.004,2 KT - 2 KM - 60 m2
1126,"Ciputat Timur, Tangerang Selatan Kota",Rp 4.250.000.000,4 KT - 3 KM - 300 m2
1127,"Cilandak, Jakarta Selatan",Rp 700.000.000,3 KT - 2 KM - 50 m2
1128,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.750.000.000,3 KT - 3 KM - 150 m2
1131,"Cilandak, Jakarta Selatan",Rp 720.000.001,2 KT - 2 KM - 60 m2
1132,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.866.550.000,4 KT - 3 KM - 101 m2
1133,"Kebayoran Lama, Jakarta Selatan",Rp 1.850.000.000,7 KT - 4 KM - 100 m2
1134,"Cilandak, Jakarta Selatan",Rp 18.500.000.000,8 KT - 5 KM - 523 m2
1135,"Kebayoran Lama, Jakarta Selatan",Rp 45.000.000.000,3 KT - 3 KM - 400 m2
1136,"Cilandak, Jakarta Selatan",Rp 8.300.000.000,3 KT - 3 KM - 220 m2
1138,"Cilandak, Jakarta Selatan",Rp 1.280.000.000,3 KT - 2 KM - 72 m2
1141,"Kebayoran Lama, Jakarta Selatan",Rp 3.700.000.000,5 KT - 4 KM - 350 m2
1142,"Ciputat Timur, Tangerang Selatan Kota",Rp 500.000.000,3 KT - 2 KM - 125 m2
1143,"Cilandak, Jakarta Selatan",Rp 347.000.000,2 KT - 1 KM - 30 m2
1145,"Ciputat Timur, Tangerang Selatan Kota",Rp 2.150.000.000,4 KT - 3 KM - 110 m2
1146,"Ciputat Timur, Tangerang Selatan Kota",Rp 4.500.000.000,8 KT - 4 KM - 300 m2
1147,"Cilandak, Jakarta Selatan",Rp 17.500.000.000,3 KT - 3 KM - 375 m2
1150,"Cilandak, Jakarta Selatan",Rp 1.700.000.000,2 KT - 2 KM - 80 m2
1152,"Ciputat Timur, Tangerang Selatan Kota",Rp 2.000.000.000,2 KT - 3 KM - 130 m2
1154,"Ciputat Timur, Tangerang Selatan Kota",Rp 650.000.000,3 KT - 2 KM - 50 m2
1155,"Kebayoran Lama, Jakarta Selatan",Rp 15.500.000.000,4 KT - 4 KM - 350 m2
1157,"Cilandak, Jakarta Selatan",Rp 6.300.000.000,4 KT - 4 KM - 260 m2
1158,"Cilandak, Jakarta Selatan",Rp 20.000.000.000,3 KT - 2 KM - 400 m2
1160,"Cilandak, Jakarta Selatan",Rp 4.250.000.000,5 KT - 4 KM - 500 m2
1161,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.350.000.000,3 KT - 3 KM - 165 m2
1167,"Cilandak, Jakarta Selatan",Rp 2.700.000.000,4 KT - 4 KM - 170 m2
1173,"Ciputat Timur, Tangerang Selatan Kota",Rp 696.000.000,3 KT - 2 KM - 52 m2
1174,"Ciputat Timur, Tangerang Selatan Kota",Rp 693.000.000,3 KT - 2 KM - 52 m2
1175,"Ciputat Timur, Tangerang Selatan Kota",Rp 698.000.000,3 KT - 2 KM - 52 m2
1176,"Cilandak, Jakarta Selatan",Rp 17.000.000.000,6 KT - 5 KM - 800 m2
1177,"Kebayoran Lama, Jakarta Selatan",Rp 282.500.000,2 KT - 1 KM - 38 m2
1178,"Ciputat Timur, Tangerang Selatan Kota",Rp 687.000.000,3 KT - 2 KM - 52 m2
1180,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.400.000.000,3 KT - 3 KM - 120 m2
1181,"Kebayoran Lama, Jakarta Selatan",Rp 4.800.000.000,4 KT - 3 KM - 300 m2
1182,"Cilandak, Jakarta Selatan",Rp 235.000.000,2 KT - 1 KM - 30 m2
1183,"Cilandak, Jakarta Selatan",Rp 7.000.000.000,5 KT - 4 KM - 318 m2
1184,"Cilandak, Jakarta Selatan",Rp 11.200.122.000,5 KT - 5 KM - 565 m2
1186,"Cilandak, Jakarta Selatan",Rp 4.200.000.000,4 KT - 4 KM - 187 m2
1187,"Ciputat Timur, Tangerang Selatan Kota",Rp 2.900.000.000,3 KT - 3 KM - 150 m2
1188,"Kebayoran Lama, Jakarta Selatan",Rp 45.000.000.000,5 KT - 5 KM - 700 m2
1191,"Cilandak, Jakarta Selatan",Rp 4.200.000.000,4 KT - 4 KM - 190 m2
1193,"Ciputat Timur, Tangerang Selatan Kota",Rp 689.000.000,3 KT - 2 KM - 52 m2
1195,"Kebayoran Lama, Jakarta Selatan",Rp 4.500.000.000,4 KT - 3 KM - 335 m2
1196,"Kebayoran Lama, Jakarta Selatan",Rp 689.090.000,3 KT - 2 KM - 48 m2
1198,"Cilandak, Jakarta Selatan",Rp 15.000.000.000,6 KT - 6 KM - 404 m2
1200,"Ciputat Timur, Tangerang Selatan Kota",Rp 4.300.000.000,5 KT - 5 KM - 232 m2
1201,"Pasar Minggu, Jakarta Selatan",Rp 2.250.000.000,4 KT - 2 KM - 150 m2
1202,"Kebayoran Baru, Jakarta Selatan",Rp 3.500.000.000,6 KT - 4 KM - 320 m2
1204,"Kebayoran Lama, Jakarta Selatan",Rp 6.000.000.000,3 KT - 3 KM - 140 m2
1209,"Cilandak, Jakarta Selatan",Rp 650.000.000,3 KT - 2 KM - 50 m2
1210,"Cilandak, Jakarta Selatan",Rp 689.001.000,3 KT - 2 KM - 52 m2
1212,"Cilandak, Jakarta Selatan",Rp 10.700.000.000,5 KT - 2 KM - 250 m2
1214,"Cilandak, Jakarta Selatan",Rp 20.000.000.000,3 KT - 3 KM - 350 m2
1215,"Cilandak, Jakarta Selatan",Rp 2.950.000.000,3 KT - 2 KM - 140 m2
1219,"Cilandak, Jakarta Selatan",Rp 45.000.000.000,5 KT - 2 KM - 1000 m2
1220,"Kebayoran Lama, Jakarta Selatan",Rp 3.300.000.000,5 KT - 3 KM - 210 m2
1221,"Ciputat Timur, Tangerang Selatan Kota",Rp 300.000.000,2 KT - 1 KM - 50 m2
1222,"Ciputat Timur, Tangerang Selatan Kota",Rp 699.999.999,3 KT - 2 KM - 50 m2
1223,"Cilandak, Jakarta Selatan",Rp 435.000.000,2 KT - 3 KM - 50 m2
1224,"Cilandak, Jakarta Selatan",Rp 17.000.000.000,6 KT - 7 KM - 800 m2
1225,"Cilandak, Jakarta Selatan",Rp 15.500.000.000,6 KT - 5 KM - 600 m2
1228,"Ciputat Timur, Tangerang Selatan Kota",Rp 695.000.000,3 KT - 2 KM - 52 m2
1230,"Ciputat Timur, Tangerang Selatan Kota",Rp 684.000.000,3 KT - 2 KM - 52 m2
1231,"Ciputat Timur, Tangerang Selatan Kota",Rp 698.000.000,3 KT - 3 KM - 52 m2
1232,"Ciputat Timur, Tangerang Selatan Kota",Rp 2.600.000.000,4 KT - 4 KM - 170 m2
1233,"Cilandak, Jakarta Selatan",Rp 700.000.000,3 KT - 2 KM - 52 m2
1234,"Ciputat Timur, Tangerang Selatan Kota",Rp 700.000.000,3 KT - 2 KM - 52 m2
1235,"Kebayoran Lama, Jakarta Selatan",Rp 750.000.000,3 KT - 2 KM - 45 m2
1240,"Ciputat Timur, Tangerang Selatan Kota",Rp 2.350.000.000,5 KT - 2 KM - 128 m2
1241,"Cilandak, Jakarta Selatan",Rp 2.500.000.000,4 KT - 3 KM - 127 m2
1243,"Ciputat Timur, Tangerang Selatan Kota",Rp 1.800.000.000,3 KT - 4 KM - 150 m2
1244,"Kebayoran Lama, Jakarta Selatan",Rp 450.000.000,2 KT - 1 KM - 36 m2
1246,"Kebayoran Lama, Jakarta Selatan",Rp 700.000.000,3 KT - 2 KM - 52 m2
1247,"Cilandak, Jakarta Selatan",Rp 1.285.000.000,3 KT - 2 KM - 73 m2
1248,"Ciputat Timur, Tangerang Selatan Kota",Rp 10.000.000.000,6 KT - 6 KM - 650 m2
1249,"Kebayoran Lama, Jakarta Selatan",Rp 699.000.009,3 KT - 2 KM - 52 m2
1250,"Cilandak, Jakarta Selatan",Rp 750.000.000,3 KT - 2 KM - 45 m2
1253,"Cilandak, Jakarta Selatan",Rp 689.000.000,3 KT - 2 KM - 50 m2
1256,"Kebayoran Lama, Jakarta Selatan",Rp 202.000.800,2 KT - 1 KM - 37 m2
1258,"Ciputat Timur, Tangerang Selatan Kota",Rp 689.004.000,3 KT - 2 KM - 48 m2
