,region,price,details
113,"Tanjung Priok, Jakarta Utara",Rp 2.500.000.000,4 KT - 2 KM - 105 m2
114,"Tanjung Priok, Jakarta Utara",Rp 3.200.000.000,4 KT - 4 KM - 160 m2
115,"Kemayoran, Jakarta Pusat",Rp 450.000.000,2 KT - 1 KM - 38 m2
116,"Sawah Besar, Jakarta Pusat",Rp 4.200.000.000,7 KT - 4 KM - 400 m2
117,"Kemayoran, Jakarta Pusat",Rp 750.000.000,6 KT - 2 KM - 120 m2
118,"Taman Sari, Jakarta Barat",Rp 550.000.000,3 KT - 2 KM - 100 m2
119,"Penjaringan, Jakarta Utara",Rp 9.400.000.000,4 KT - 2 KM - 300 m2
120,"Tanjung Priok, Jakarta Utara",Rp 1.600.000.000,3 KT - 2 KM - 56 m2
121,"Tanjung Priok, Jakarta Utara",Rp 1.300.000.000,2 KT - 1 KM - 100 m2
122,"Gambir, Jakarta Pusat",Rp 239.000.000,2 KT - 1 KM - 40 m2
123,"Penjaringan, Jakarta Utara",Rp 4.600.000.000,4 KT - 4 KM - 203 m2
124,"Penjaringan, Jakarta Utara",Rp 5.100.000.000,4 KT - 4 KM - 203 m2
125,"Tambora, Jakarta Barat",Rp 3.330.000.000,3 KT - 3 KM - 160 m2
126,"Sawah Besar, Jakarta Pusat",Rp 1.350.000.000,2 KT - 1 KM - 98 m2
127,"Penjaringan, Jakarta Utara",Rp 1.155.000.000,3 KT - 1 KM - 54 m2
128,"Taman Sari, Jakarta Barat",Rp 2.400.000.000,4 KT - 3 KM - 240 m2
129,"Gambir, Jakarta Pusat",Rp 18.000.000.000,&gt;10 KT - &gt;10 KM - 339 m2
130,"Tambora, Jakarta Barat",Rp 575.000.000,&gt;10 KT - 2 KM - 162 m2
131,"Penjaringan, Jakarta Utara",Rp 3.900.000.000,3 KT - 2 KM - 120 m2
132,"Tanjung Priok, Jakarta Utara",Rp 3.500.000.000,10 KT - 7 KM - 480 m2
133,"Penjaringan, Jakarta Utara",Rp 14.500.000.000,4 KT - 5 KM - 500 m2
134,"Tanjung Priok, Jakarta Utara",Rp 4.500.000.000,4 KT - 3 KM - 160 m2
135,"Tambora, Jakarta Barat",Rp 21.500.000.000,7 KT - 9 KM - 520 m2
136,"Tanjung Priok, Jakarta Utara",Rp 2.850.000.000,2 KT - 2 KM - 102 m2
137,"Kemayoran, Jakarta Pusat",Rp 1.100.000.000,3 KT - 4 KM - 123 m2
138,"Kemayoran, Jakarta Pusat",Rp 2.200.000.000,3 KT - 2 KM - 123 m2
139,"Penjaringan, Jakarta Utara",Rp 5.100.000.000,3 KT - 3 KM - 200 m2
140,"Penjaringan, Jakarta Utara",Rp 4.700.000.000,4 KT - 3 KM - 240 m2
141,"Penjaringan, Jakarta Utara",Rp 7.300.000.000,3 KT - 1 KM - 500 m2
142,"Penjaringan, Jakarta Utara",Rp 8.800.000.000,3 KT - 1 KM - 480 m2
143,"Penjaringan, Jakarta Utara",Rp 11.000.000.000,3 KT - 1 KM - 600 m2
144,"Penjaringan, Jakarta Utara",Rp 4.960.000.000,3 KT - 3 KM - 200 m2
145,"Pademangan, Jakarta Utara",Rp 3.500.000.000,6 KT - 2 KM - 0 m2
146,"Tanjung Priok, Jakarta Utara",Rp 1.322.000.000,3 KT - 2 KM - 90 m2
147,"Tanjung Priok, Jakarta Utara",Rp 800.000.000,7 KT - 3 KM - 300 m2
148,"Penjaringan, Jakarta Utara",Rp 4.350.000.000,5 KT - 5 KM - 350 m2
149,"Tambora, Jakarta Barat",Rp 1.600.000.000,3 KT - 1 KM - 55 m2
150,"Kemayoran, Jakarta Pusat",Rp 350.000.000,1 KT - 1 KM - 30 m2
151,"Tanjung Priok, Jakarta Utara",Rp 1.350.000.000,3 KT - 2 KM - 106 m2
152,"Pademangan, Jakarta Utara",Rp 1.350.000.000,3 KT - 1 KM - 73 m2
153,"Sawah Besar, Jakarta Pusat",Rp 9.500.000.000,&gt;10 KT - 7 KM - 800 m2
154,"Pademangan, Jakarta Utara",Rp 9.000.000.000,5 KT - 3 KM - 450 m2
155,"Kemayoran, Jakarta Pusat",Rp 449.000.000,3 KT - 2 KM - 51 m2
156,"Penjaringan, Jakarta Utara",Rp 3.750.000.000,4 KT - 3 KM - 160 m2
